Unnamed: 0,date,pm10,traffic,wind
466,2019-04-11,57,10930265,29
467,2019-04-12,53,11150125,44
468,2019-04-13,43,10686859,26
469,2019-04-14,57,8926732,35
470,2019-04-15,51,10792087,30
471,2019-04-16,45,10933281,23
472,2019-04-17,45,10950631,23
473,2019-04-18,47,10877889,27
474,2019-04-19,49,11112663,4
475,2019-04-20,37,10518494,18
476,2019-04-21,85,9223984,33
477,2019-04-22,87,10712564,19
478,2019-04-23,62,10818577,25
479,2019-04-24,42,10743524,26
480,2019-04-25,10,10661084,2
481,2019-04-26,20,10862492,4
482,2019-04-27,21,10584823,27
483,2019-04-28,22,9290230,24
484,2019-04-29,41,10653297,5
485,2019-04-30,59,10953464,19
486,2019-05-01,55,9704027,36
487,2019-05-02,56,10739745,39
488,2019-05-03,74,11011833,25
489,2019-05-04,70,10360717,34
490,2019-05-05,39,9195054,29
491,2019-05-06,55,9429395,28
492,2019-05-07,57,10658152,26
493,2019-05-08,53,10832364,27
494,2019-05-09,66,10733730,35
495,2019-05-10,69,11004449,33
496,2019-05-11,61,10469939,39
497,2019-05-12,63,9203865,22
498,2019-05-13,46,10537003,27
499,2019-05-14,70,10750650,22
500,2019-05-15,69,10745286,29
501,2019-05-16,62,10837986,27
502,2019-05-17,34,10939225,16
503,2019-05-18,16,10402618,2
504,2019-05-19,41,8732382,0
505,2019-05-20,60,10459119,36
506,2019-05-21,63,10716108,28
507,2019-05-22,74,10699011,25
508,2019-05-23,79,10857493,33
509,2019-05-24,76,11048920,24
510,2019-05-25,46,10494288,26
511,2019-05-26,26,9290966,23
512,2019-05-27,26,9857545,14
513,2019-05-28,56,10796592,37
514,2019-05-29,53,10812262,20
515,2019-05-30,24,10823102,26
516,2019-05-31,39,11003281,37
517,2019-06-01,41,10335047,31
518,2019-06-02,45,9080208,25
519,2019-06-03,30,10463884,21
520,2019-06-04,51,10741485,31
521,2019-06-05,56,10940849,30
522,2019-06-06,19,9419184,7
523,2019-06-07,30,10213298,0
524,2019-06-08,42,10168089,16
525,2019-06-09,14,8773360,29
526,2019-06-10,17,10361965,0
527,2019-06-11,35,10664266,8
528,2019-06-12,34,10621479,32
529,2019-06-13,35,10728254,27
530,2019-06-14,39,10995034,41
531,2019-06-15,16,10287546,32
532,2019-06-16,25,8904036,20
533,2019-06-17,35,10451549,31
534,2019-06-18,36,10482435,18
535,2019-06-19,29,10466521,44
536,2019-06-20,30,10781442,35
537,2019-06-21,10,10765611,33
538,2019-06-22,11,10469423,4
539,2019-06-23,21,9164915,8
540,2019-06-24,31,10552053,26
541,2019-06-25,30,10670582,29
542,2019-06-26,19,10778351,4
543,2019-06-27,37,10764276,9
544,2019-06-28,23,10983590,42
545,2019-06-29,29,10232867,4
546,2019-06-30,34,9059850,31
547,2019-07-01,33,10510547,36
548,2019-07-02,38,10654967,36
549,2019-07-03,32,10607501,36
550,2019-07-04,31,10697770,36
551,2019-07-05,22,10905367,16
552,2019-07-06,15,10284572,0
553,2019-07-07,8,9038470,0
554,2019-07-08,8,10467148,0
555,2019-07-09,6,10640016,0
556,2019-07-10,7,10534442,0
557,2019-07-11,18,10450184,16
558,2019-07-12,37,10965166,36
559,2019-07-13,42,10175065,21
560,2019-07-14,35,9030365,38
561,2019-07-15,36,10197779,9
562,2019-07-16,65,10575436,17
563,2019-07-17,67,10689690,21
564,2019-07-18,37,10737039,18
565,2019-07-19,8,10922638,4
566,2019-07-20,17,10111975,0
567,2019-07-21,48,8791230,20
568,2019-07-22,27,10506211,29
569,2019-07-23,25,10656524,23
570,2019-07-24,27,10491178,20
571,2019-07-25,19,10230312,12
572,2019-07-26,20,9965819,14
573,2019-07-27,13,10013681,13
574,2019-07-28,15,8489951,4
575,2019-07-29,21,10393617,21
576,2019-07-30,18,10509484,22
577,2019-07-31,14,10249445,9
578,2019-08-01,20,10493241,26
579,2019-08-02,22,10648605,24
580,2019-08-03,31,9839123,7
581,2019-08-04,39,8834692,13
582,2019-08-05,27,10389932,13
583,2019-08-06,21,10593701,0
584,2019-08-07,41,10360970,25
585,2019-08-08,23,10645081,28
586,2019-08-09,20,10835714,22
587,2019-08-10,17,10169791,0
588,2019-08-11,14,9023516,0
589,2019-08-12,25,10027628,0
590,2019-08-13,17,10586564,18
591,2019-08-14,8,10767680,7
592,2019-08-15,19,9160663,5
593,2019-08-16,33,10558249,28
594,2019-08-17,22,9997291,34
595,2019-08-18,22,8971199,31
596,2019-08-19,29,10482910,8
597,2019-08-20,33,10630752,0
598,2019-08-21,43,10578233,10
599,2019-08-22,34,10742913,24
600,2019-08-23,23,11062087,37
601,2019-08-24,17,10573407,31
602,2019-08-25,22,9395295,22
603,2019-08-26,23,10681496,13
604,2019-08-27,26,10785045,16
605,2019-08-28,25,10909338,20
606,2019-08-29,16,10786911,7
607,2019-08-30,18,11093442,10
608,2019-08-31,18,10810667,10
609,2019-09-01,25,9514822,13
610,2019-09-02,23,10727616,11
611,2019-09-03,9,10967465,6
612,2019-09-04,7,10518304,6
613,2019-09-05,14,10451420,0
614,2019-09-06,14,10888184,2
615,2019-09-07,38,8828657,0
616,2019-09-08,40,9053487,14
617,2019-09-09,13,10660674,14
618,2019-09-10,7,10379045,5
619,2019-09-11,8,10772979,2
620,2019-09-12,12,8778278,0
621,2019-09-13,16,9265903,9
622,2019-09-14,12,8156863,9
623,2019-09-15,9,8425444,18
624,2019-09-16,13,10522276,19
625,2019-09-17,25,10666095,6
626,2019-09-18,21,10715372,25
627,2019-09-19,22,10741508,24
628,2019-09-20,16,10930142,9
629,2019-09-21,7,10382952,3
630,2019-09-22,16,8656444,10
631,2019-09-23,26,10615080,7
632,2019-09-24,37,10832300,22
633,2019-09-25,33,10850268,19
634,2019-09-26,23,10905261,12
635,2019-09-27,31,11055109,11
636,2019-09-28,42,10591472,18
637,2019-09-29,55,9473034,19
638,2019-09-30,48,10699658,26
639,2019-10-01,25,10816274,10
640,2019-10-02,9,10611125,2
641,2019-10-03,30,9185347,19
642,2019-10-04,43,10800635,3
643,2019-10-05,12,10163168,8
644,2019-10-06,11,9186261,0
645,2019-10-07,25,10140322,15
646,2019-10-08,26,10952703,1
647,2019-10-09,33,9600699,27
648,2019-10-10,39,10716241,21
649,2019-10-11,29,11008999,18
650,2019-10-12,24,10495078,6
651,2019-10-13,39,9419819,9
652,2019-10-14,26,10697774,26
653,2019-10-15,34,10814480,15
654,2019-10-16,33,10890935,27
655,2019-10-17,19,10890750,10
656,2019-10-18,22,11013097,2
657,2019-10-19,41,10520143,22
658,2019-10-20,45,9368437,14
659,2019-10-21,40,10576222,19
660,2019-10-22,23,10679720,5
661,2019-10-23,29,10657260,0
662,2019-10-24,25,10766208,0
663,2019-10-25,24,10874245,23
664,2019-10-26,26,10454802,36
665,2019-10-27,34,9391734,30
666,2019-10-28,78,10448873,12
667,2019-10-29,28,10656614,40
668,2019-10-30,69,10795863,20
669,2019-10-31,82,10693534,12
670,2019-11-01,64,10887124,31
671,2019-11-02,49,10436014,15
672,2019-11-03,13,9300188,10
673,2019-11-04,35,10554534,13
674,2019-11-05,50,10756572,22
675,2019-11-06,50,10751045,24
676,2019-11-07,45,10832751,34
677,2019-11-08,39,11009501,16
678,2019-11-09,32,10506738,31
679,2019-11-10,21,9301601,0
680,2019-11-11,32,10652487,32
681,2019-11-12,30,10644351,16
682,2019-11-13,19,10582903,19
683,2019-11-14,25,10826933,29
684,2019-11-15,36,10631256,0
685,2019-11-16,28,10328179,0
686,2019-11-17,61,8991057,0
687,2019-11-18,33,10600237,43
688,2019-11-19,24,10811225,34
689,2019-11-20,41,10777255,24
690,2019-11-21,50,10812024,1
691,2019-11-22,36,10997541,0
692,2019-11-23,32,10445679,2
693,2019-11-24,29,9111854,14
694,2019-11-25,27,10510422,27
695,2019-11-26,41,10664773,19
696,2019-11-27,41,10703366,33
697,2019-11-28,45,10769276,42
698,2019-11-29,47,10954599,34
699,2019-11-30,43,10314016,5
700,2019-12-01,25,8650385,11
701,2019-12-02,32,10422780,37
702,2019-12-03,33,10483911,18
703,2019-12-04,25,10625770,27
704,2019-12-05,34,10728361,27
705,2019-12-06,49,10829252,30
706,2019-12-07,56,10123193,3
707,2019-12-08,63,8912577,12
708,2019-12-09,84,10424844,1
709,2019-12-10,68,10488283,9
710,2019-12-11,20,10675136,33
711,2019-12-12,27,10795853,29
712,2019-12-13,41,10902456,7
713,2019-12-14,39,10321198,24
714,2019-12-15,43,9076973,0
715,2019-12-16,31,10499862,0
716,2019-12-17,42,10345432,22
717,2019-12-18,29,10707725,39
718,2019-12-19,32,10757969,40
719,2019-12-20,38,10962316,33
720,2019-12-21,60,10071368,3
721,2019-12-22,54,8877893,0
722,2019-12-23,67,10444217,24
723,2019-12-24,54,10696258,6
724,2019-12-25,50,8676524,14
725,2019-12-26,39,10405030,29
726,2019-12-27,48,10757008,25
727,2019-12-28,49,9870856,0
728,2019-12-29,41,8533533,0
729,2019-12-30,41,10322693,22
730,2019-12-31,38,10473153,1
